Unnamed: 0,ACEREGIO,AGE65,BANK,BLACK,BLUCLLR,CD,CITY,COAST,CONSTRCT,CVLLBFRC,DC,ENROLL,FARMER,FEDWRKR,FINANCE,FIPSTATE,FLOOD,FORBORN,GVTWRKR,INTRLAND,LANDSQMI,LOCLWRKR,MANUF,MARINE,MDNINCM,MILTINST,MILTMAJR,MILTPOP,NUCPLANT,POPSQMI,POPULATN,PORT,RURLFARM,SC,STATE,STATWRKR,TRANSPRT,UNEMPLYD,UNION,URBAN,VABEDS,VETERANS,WHLRETL,ID,YEAR,party,candidatevotes,totalvotes,winratio,prev_party,prev_candidatevotes,prev_totalvotes,prev_winratio,flip
0,1.0,52703.0,8705.0,51569.0,68504.0,1.0,0.0,0.0,13657.0,228958.0,0.0,113096.0,1246.0,5413.0,35710.0,9.0,1.40810656,53868.0,31359.0,0.0,382.0,16644.0,60863.0,0.0,12031.0,0.0,0.0,378.0,,1323.08377,505418.0,0.0,1208.0,1.0,CT,9302.0,3270.0,6768.0,27.5,455763.0,178.0,61883.0,42454.0,1978-CT-1,1978,0,102749,172564,0.595425465,0.0,128479.0,225076.0,0.570824966,0.0
1,1.0,44350.0,8705.0,11501.0,75347.0,2.0,0.0,0.0,12301.0,199427.0,0.0,118544.0,2573.0,6626.0,10978.0,9.0,1.40810656,30646.0,34611.0,0.0,1834.0,13087.0,69385.0,1.0,10885.0,3.0,1.0,14119.0,1.0,275.6232279,505493.0,0.0,6757.0,1.0,CT,14898.0,3614.0,7530.0,27.5,238894.0,723.0,57185.0,33055.0,1978-CT-2,1978,0,116624,166814,0.699125973,0.0,142684.0,219308.0,0.650610101,0.0
2,1.0,50047.0,8705.0,44429.0,75438.0,3.0,0.0,1.0,11337.0,220601.0,0.0,114054.0,886.0,6030.0,16392.0,9.0,1.40810656,37599.0,27784.0,0.0,382.0,16806.0,65583.0,0.0,11463.0,0.0,0.0,248.0,,1322.756545,505293.0,0.0,1008.0,1.0,CT,4948.0,6879.0,7542.0,27.5,450665.0,0.0,62475.0,41978.0,1978-CT-3,1978,0,96830,166587,0.581257841,0.0,121623.0,222643.0,0.546269139,0.0
3,1.0,50841.0,8705.0,50201.0,70109.0,4.0,0.0,1.0,11288.0,222215.0,0.0,114691.0,501.0,4434.0,21367.0,9.0,1.40810656,56064.0,23187.0,0.0,188.0,16255.0,72607.0,0.0,12692.0,0.0,0.0,290.0,,2688.117021,505366.0,0.0,150.0,1.0,CT,2498.0,4628.0,7209.0,27.5,486724.0,0.0,61641.0,42188.0,1978-CT-4,1978,4,83990,143919,0.5835921589999999,4.0,126314.0,207058.0,0.610041631,0.0
4,1.0,47411.0,8705.0,18561.0,80215.0,5.0,0.0,1.0,11589.0,211469.0,0.0,124275.0,939.0,3210.0,13627.0,9.0,1.40810656,43041.0,23234.0,0.0,585.0,14990.0,83454.0,0.0,12200.0,0.0,0.0,222.0,,863.7880342,505316.0,0.0,1101.0,1.0,CT,5034.0,4188.0,8242.0,27.5,393569.0,0.0,61394.0,35920.0,1978-CT-5,1978,0,96738,184913,0.523154132,4.0,157009.0,236087.0,0.6650472070000001,1.0
5,1.0,45079.0,8705.0,7094.0,83586.0,6.0,0.0,0.0,12227.0,216539.0,0.0,123461.0,1968.0,3142.0,18225.0,9.0,1.40810656,40973.0,24342.0,0.0,1491.0,14713.0,83123.0,0.0,11898.0,0.0,0.0,328.0,,338.9208585,505331.0,0.0,4589.0,1.0,CT,6487.0,3931.0,8186.0,27.5,323781.0,0.0,62622.0,36838.0,1978-CT-6,1978,0,119537,186224,0.641899003,0.0,134914.0,238300.0,0.566151909,0.0
6,1.0,59641.0,2283.0,1168.0,78776.0,1.0,0.0,1.0,12322.0,195571.0,0.0,113678.0,3637.0,8799.0,12187.0,23.0,1.40810656,19463.0,30195.0,34400.0,4569.0,12577.0,55302.0,1.0,8688.0,1.0,0.0,5228.0,1.0,108.4878529,495681.0,27565807.0,8399.0,2.0,ME,8819.0,5961.0,6794.0,22.0,272281.0,744.0,60077.0,38478.0,1978-ME-1,1978,4,120791,196485,0.6147593960000001,4.0,145523.0,253628.0,0.573765515,0.0
7,1.0,54951.0,2283.0,1648.0,82656.0,2.0,0.0,1.0,10693.0,186143.0,0.0,120483.0,6467.0,5399.0,8021.0,23.0,1.40810656,23551.0,25499.0,34400.0,26351.0,12853.0,60237.0,0.0,7733.0,1.0,1.0,5250.0,,18.89803044,497982.0,0.0,14441.0,2.0,ME,7247.0,5423.0,9070.0,22.0,233826.0,0.0,52890.0,32853.0,1978-ME-2,1978,4,87939,173037,0.508209227,4.0,169292.0,219547.0,0.7710968490000001,0.0
8,1.0,53025.0,18524.0,4218.0,67599.0,1.0,0.0,0.0,9962.0,194859.0,0.0,105306.0,2668.0,4511.0,10888.0,25.0,1.40810656,26302.0,30844.0,27131.0,2473.0,14997.0,61713.0,0.0,10311.0,1.0,0.0,1132.0,1.0,189.8253134,469438.0,0.0,6033.0,3.0,MA,11336.0,3782.0,8069.0,27.2,337147.0,709.0,58466.0,32631.0,1978-MA-1,1978,4,131773,131918,0.998900832,4.0,137652.0,215870.0,0.637661556,0.0
9,1.0,50551.0,18524.0,22316.0,78333.0,2.0,0.0,0.0,8952.0,195063.0,0.0,113166.0,1223.0,4672.0,14405.0,25.0,1.40810656,33634.0,23028.0,27131.0,1233.0,14472.0,71121.0,0.0,10268.0,1.0,1.0,5057.0,,383.0251419,472270.0,0.0,2418.0,3.0,MA,3884.0,4045.0,7830.0,27.2,357330.0,0.0,57696.0,37098.0,1978-MA-2,1978,0,101570,139479,0.7282099809999999,0.0,134408.0,185755.0,0.7235767540000001,0.0
